CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,05/26/2020 11:25:00 PM,20-026158,BURGLARY-FORCIBLE ENTRY,31Z,9800 SAN LEANDRO ST,Oakland,CA,"9800 SAN LEANDRO ST
Oakland, CA
(37.738984, -122.179481)"
CHILD ABUSE,05/26/2020 09:33:00 PM,20-026128,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,31Z,10500 TOPANGA DR,Oakland,CA,"10500 TOPANGA DR
Oakland, CA
(37.728576, -122.180968)"
BURG - COMMERCIAL,01/31/2020 12:00:00 AM,20-011121,VANDALISM,03X,300 13TH ST,Oakland,CA,"300 13TH ST
Oakland, CA
(37.80223, -122.268037)"
STOLEN VEHICLE,02/27/2020 08:00:00 PM,20-011464,VEHICLE THEFT - AUTO,22X,1700 LEIMERT PL,Oakland,CA,"1700 LEIMERT PL
Oakland, CA
(37.811427, -122.212126)"
RECOVERED O/S STOLEN,05/13/2020 05:51:00 PM,20-023920,VEHICLE THEFT - AUTO,77X,300 LEET DR,Oakland,CA,"300 LEET DR
Oakland, CA"
STOLEN VEHICLE,05/14/2020 08:30:00 AM,20-024127,VEHICLE THEFT - AUTO,27X,4400 MELROSE AV,Oakland,CA,"4400 MELROSE AV
Oakland, CA
(37.77606, -122.209385)"
,05/26/2020 06:00:00 AM,20-026186,VEHICLE THEFT - AUTO,24X,4100 MERA ST,Oakland,CA,"4100 MERA ST
Oakland, CA
(37.777508, -122.212167)"
,05/23/2020 11:00:00 PM,20-026111,VEHICLE THEFT - AUTO,23X,3700 BLOCK PENNIMAN AVE,Oakland,CA,"3700 BLOCK PENNIMAN AVE
Oakland, CA
(37.788361, -122.204957)"
,05/21/2020 06:00:00 PM,20-025572,VEHICLE THEFT - AUTO,31Z,IFO 11048 NOVELDA DR,Oakland,CA,"IFO 11048 NOVELDA DR
Oakland, CA"
,03/31/2020 10:00:00 AM,20-026291,GET CREDIT/ETC OTHER'S ID,07X,00 COVENT LN.,Oakland,CA,"00 COVENT LN.
Oakland, CA"
GRAND THEFT,05/08/2020 07:20:00 PM,20-909958,GRAND THEFT,14Y,600 RAND AV,Oakland,CA,"600 RAND AV
Oakland, CA
(37.810177, -122.246622)"
BURG - AUTO,05/08/2020 02:00:00 PM,20-909959,BURGLARY-AUTO,14X,200 PARK VIEW TER,Oakland,CA,"200 PARK VIEW TER
Oakland, CA
(37.811899, -122.25931)"
GRAND THEFT,10/05/2019 12:20:00 AM,20-906036,THEFT,14Y,700 JEAN ST,Oakland,CA,"700 JEAN ST
Oakland, CA
(37.819059, -122.246475)"
,03/26/2020 01:53:00 PM,20-016297,DISTURB BY LOUD/UNREASONABLE NOISE,35Y,3200 REVERE AV,Oakland,CA,"3200 REVERE AV
Oakland, CA
(37.736496, -122.134385)"
WEAPONS,05/12/2020 01:30:00 PM,20-023730,CARRY CONCEALED WEAPON ON PERSON,23X,1600 FRUITVALE AV,Oakland,CA,"1600 FRUITVALE AV
Oakland, CA
(37.780305, -122.22449)"
GRAND THEFT,05/11/2020 08:00:00 PM,20-023623,VEHICLE THEFT - AUTO,99X,16500 KENT AV,Oakland,CA,"16500 KENT AV
Oakland, CA"
,05/23/2020 12:00:00 AM,20-910721,VANDALISM,12Y,400 55TH ST,Oakland,CA,"400 55TH ST
Oakland, CA
(37.840069, -122.260593)"
BURG - AUTO,03/09/2020 08:10:00 AM,20-906713,BURGLARY-AUTO,22X,4000 WHITTLE AV,Oakland,CA,"4000 WHITTLE AV
Oakland, CA
(37.805598, -122.209308)"
DUI,05/26/2020 11:54:00 PM,20-026145,DUI ALCOHOL/DRUGS,21Y,3200 LOGAN ST,Oakland,CA,"3200 LOGAN ST
Oakland, CA
(37.787612, -122.221212)"
,05/23/2020 08:00:00 AM,20-910714,BURGLARY-AUTO,13Z,7700 SKYLINE BOULEVARD,Oakland,CA,"7700 SKYLINE BOULEVARD
Oakland, CA
(37.838708, -122.192546)"
,05/23/2020 01:52:00 PM,20-910722,MAIL/ETC THEFT/ETC,25X,3400 39TH AVE,Oakland,CA,"3400 39TH AVE
Oakland, CA
(37.788639, -122.200214)"
RECOVERED O/S STOLEN,05/12/2020 12:00:00 PM,20-023677,VEHICLE THEFT - AUTO,20X,2400 E 11TH ST,Oakland,CA,"2400 E 11TH ST
Oakland, CA
(37.780113, -122.236923)"
WEAPONS,03/08/2020 06:52:00 PM,20-013240,POSSESS/ETC BURGLARY TOOLS,33X,8400 E ST,Oakland,CA,"8400 E ST
Oakland, CA
(37.751063, -122.184327)"
BURG - AUTO,05/07/2020 05:00:00 PM,20-023662,BURGLARY-AUTO,35Y,3900 FAIRWAY AV,Oakland,CA,"3900 FAIRWAY AV
Oakland, CA
(37.759977, -122.146813)"
,05/24/2020 04:00:00 AM,20-910750,VANDALISM,10Y,4200 MARTIN LUTHER KING JR W,Oakland,CA,"4200 MARTIN LUTHER KING JR W
Oakland, CA"
,05/17/2020 08:00:00 AM,20-026248,THEFT,25X,4400 REINHARDT DR,Oakland,CA,"4400 REINHARDT DR
Oakland, CA
(37.79207, -122.183768)"
,05/23/2020 05:00:00 AM,20-910810,BURGLARY-NO FORCE,32Y,10600 MACARTHUR BOULEVARD,Oakland,CA,"10600 MACARTHUR BOULEVARD
Oakland, CA
(37.74268, -122.152148)"
GRAND THEFT,05/08/2020 04:00:00 PM,20-909961,THEFT,22Y,3300 MACARTHUR BLVD,Oakland,CA,"3300 MACARTHUR BLVD
Oakland, CA
(37.795214, -122.202187)"
STOLEN VEHICLE,04/25/2020 02:04:00 PM,20-024125,VEHICLE THEFT - AUTO,15X,2300 PARK BLVD,Oakland,CA,"2300 PARK BLVD
Oakland, CA
(37.801663, -122.245102)"
DOMESTIC VIOLENCE,05/12/2020 06:00:00 AM,20-024109,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,20X,1200 26TH AV,Oakland,CA,"1200 26TH AV
Oakland, CA
(37.78056, -122.233381)"
,05/22/2020 08:00:00 PM,20-910849,ASSAULT,24X,2500 35TH AVE,Oakland,CA,"2500 35TH AVE
Oakland, CA
(37.787191, -122.211723)"
,05/24/2020 10:00:00 PM,20-026236,VEHICLE THEFT - AUTO,16Y,4500 EDGEWOOD AVE,Oakland,CA,"4500 EDGEWOOD AVE
Oakland, CA
(37.809485, -122.219461)"
,05/26/2020 11:00:00 PM,20-026164,SC UNEXPLAINED DEATH,20X,1400 28TH AV,Oakland,CA,"1400 28TH AV
Oakland, CA
(37.779876, -122.22996)"
STOLEN VEHICLE,05/06/2020 04:30:00 AM,20-909886,ATTEMPT VEHICLE THEFT-AUTO,15X,200 WAYNE AV,Oakland,CA,"200 WAYNE AV
Oakland, CA
(37.801154, -122.252512)"
,05/22/2020 09:00:00 PM,20-026036,PANDERING,31Y,500 98TH AV,Oakland,CA,"500 98TH AV
Oakland, CA
(37.734987, -122.183938)"
THREATS,04/24/2020 12:00:00 AM,20-023725,THREAT CRIME:INT:TERRORIZE,03X,12TH ST & BROADWAY,Oakland,CA,"12TH ST & BROADWAY
Oakland, CA
(37.802942, -122.272065)"
BURG - COMMERCIAL,02/11/2020 01:43:00 AM,20-008118,BURGLARY-FORCIBLE ENTRY,26X,900 HIGH ST,Oakland,CA,"900 HIGH ST
Oakland, CA
(37.769944, -122.218028)"
OTHER SEX OFFENSES,05/13/2020 05:11:00 PM,20-023909,VIOLATION OF PROBATION-MISD,13Y,SB S13 CONN & WB S24,Oakland,CA,"SB S13 CONN & WB S24
Oakland, CA"
RECOVERED O/S STOLEN,05/13/2020 10:45:00 AM,20-023841,VEHICLE THEFT - AUTO,29X,2900 68TH AV,Oakland,CA,"2900 68TH AV
Oakland, CA
(37.769939, -122.177355)"
BURG - AUTO,05/05/2020 04:23:00 AM,20-909981,BURGLARY-AUTO,12Y,6700 MANOR CREST,Oakland,CA,"6700 MANOR CREST
Oakland, CA
(37.851379, -122.243819)"
,05/24/2020 10:58:00 PM,20-910800,ASSAULT,07X,800 MEAD AVE,Oakland,CA,"800 MEAD AVE
Oakland, CA
(37.816439, -122.275235)"
,05/23/2020 10:30:00 PM,20-910758,ATTEMPT VEHICLE THEFT-AUTO,25X,3600 WISCONSIN ST,Oakland,CA,"3600 WISCONSIN ST
Oakland, CA
(37.795985, -122.194804)"
GRAND THEFT,01/30/2020 08:00:00 AM,20-011473,GRAND THEFT,31Z,400 CAPISTRANO DR,Oakland,CA,"400 CAPISTRANO DR
Oakland, CA
(37.727725, -122.179229)"
MISDEMEANOR ASSAULT,05/13/2020 07:45:00 PM,20-023940,BATTERY,33X,1200 88TH AV,Oakland,CA,"1200 88TH AV
Oakland, CA
(37.749545, -122.178919)"
,05/25/2020 02:20:00 AM,20-910789,VANDALISM,,104TH E14TH ST,Oakland,CA,"104TH E14TH ST
Oakland, CA"
BURG - COMMERCIAL,05/07/2020 02:45:00 AM,20-909988,BURGLARY-NO FORCE,05Y,300 BURMA RD,Oakland,CA,"300 BURMA RD
Oakland, CA
(37.822811, -122.308115)"
,05/26/2020 12:55:00 PM,20-910844,BURGLARY-AUTO,,10500 E RUSSET ST,Oakland,CA,"10500 E RUSSET ST
Oakland, CA
(37.735284, -122.175155)"
GRAND THEFT,03/06/2020 02:30:00 PM,20-907216,MAIL/ETC THEFT/ETC,17X,400 E 17TH ST,Oakland,CA,"400 E 17TH ST
Oakland, CA
(37.798469, -122.251919)"
NARCOTICS,05/25/2020 08:33:00 PM,20-025919,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,32X,9800 INTERNATIONAL BLVD,Oakland,CA,"9800 INTERNATIONAL BLVD
Oakland, CA
(37.744098, -122.170226)"
,05/24/2020 01:00:00 AM,20-910743,VANDALISM,22X,2100 LEIMERT BOULEVARD,Oakland,CA,"2100 LEIMERT BOULEVARD
Oakland, CA
(37.81431, -122.209003)"
VANDALISM,02/26/2020 10:00:00 PM,20-011236,VANDALISM:DEFACE PROPERTY,10X,6100 BAKER ST,Oakland,CA,"6100 BAKER ST
Oakland, CA
(37.84454, -122.278934)"
VANDALISM,02/22/2020 08:00:00 PM,20-906045,VANDALISM,77X,48TH ST,Oakland,CA,"48TH ST
Oakland, CA"
BURG - AUTO,02/22/2020 12:00:00 AM,20-010928,BURGLARY-AUTO,19X,1100 12TH AV,Oakland,CA,"1100 12TH AV
Oakland, CA
(37.789318, -122.249787)"
BURG - AUTO,12/20/2019 12:00:00 AM,20-010873,BURGLARY-AUTO,30Y,2900 PARKER AV,Oakland,CA,"2900 PARKER AV
Oakland, CA
(37.766992, -122.166275)"
BURG - AUTO,05/07/2020 03:00:00 PM,20-909982,BURGLARY-AUTO,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76593, -122.223338)"
NARCOTICS,05/25/2020 03:21:00 AM,20-025785,"IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.",31Y,NB HEGENBERGER OFFRP AV & NB I880,Oakland,CA,"NB HEGENBERGER OFFRP AV & NB I880
Oakland, CA"
,05/23/2020 02:58:00 PM,20-910717,BURGLARY-AUTO,14Y,400 LAKE PARK AVE,Oakland,CA,"400 LAKE PARK AVE
Oakland, CA
(37.811458, -122.247926)"
GRAND THEFT,03/10/2020 01:00:00 AM,20-909887,GRAND THEFT,04X,300 17TH ST,Oakland,CA,"300 17TH ST
Oakland, CA
(37.805387, -122.266503)"
BURG - AUTO,03/06/2020 06:18:00 PM,20-906752,BURGLARY-AUTO,12X,42ND ST & TELEGRAPH AV,Oakland,CA,"42ND ST & TELEGRAPH AV
Oakland, CA
(37.830858, -122.263995)"
VANDALISM,02/27/2020 09:00:00 PM,20-906294,VANDALISM,03Y,500 9TH ST,Oakland,CA,"500 9TH ST
Oakland, CA
(37.801392, -122.27468)"
MISDEMEANOR ASSAULT,02/29/2020 11:00:00 PM,20-011792,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,32Y,10000 MACARTHUR BLVD,Oakland,CA,"10000 MACARTHUR BLVD
Oakland, CA
(37.745864, -122.156078)"
FELONY ASSAULT,05/12/2020 10:57:00 PM,20-023768,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,35Y,9700 MOUNTAIN BLVD,Oakland,CA,"9700 MOUNTAIN BLVD
Oakland, CA
(37.755005, -122.149425)"
,05/23/2020 09:00:00 PM,20-910727,VANDALISM,13Y,4800 GRIZZLY PEAK BOULEVARD,Oakland,CA,"4800 GRIZZLY PEAK BOULEVARD
Oakland, CA
(37.868359, -122.21785)"
WEAPONS,04/23/2020 02:23:00 PM,20-020603,CARRY LOADED FIREARM WITH INTENT TO COMMIT A FELONY,27X,2100 HIGH ST,Oakland,CA,"2100 HIGH ST
Oakland, CA
(37.776926, -122.209505)"
PETTY THEFT,05/08/2020 12:00:00 PM,20-023738,THEFT,22X,2800 MOUNTAIN BLVD,Oakland,CA,"2800 MOUNTAIN BLVD
Oakland, CA
(37.81223, -122.199122)"
WEAPONS,04/23/2020 02:23:00 PM,20-020603,POSSESS MARIJUANA/HASHISH FOR SALE,27X,2100 HIGH ST,Oakland,CA,"2100 HIGH ST
Oakland, CA
(37.776926, -122.209505)"
BURG - AUTO,01/27/2020 01:30:00 PM,20-906774,BURGLARY-AUTO,23X,3200 E 9TH ST,Oakland,CA,"3200 E 9TH ST
Oakland, CA
(37.77355, -122.228135)"
DOMESTIC VIOLENCE,05/14/2020 04:59:00 PM,20-024115,DISOBEY DOMESTIC RELATIONS COURT ORDER/PR CONVICTIONS,27X,5200 FOOTHILL BLVD,Oakland,CA,"5200 FOOTHILL BLVD
Oakland, CA
(37.772636, -122.202965)"
DOMESTIC VIOLENCE,02/18/2020 07:00:00 PM,20-009676,ROBBERY-FIREARM,35X,3500 OAK KNOLL BLVD,Oakland,CA,"3500 OAK KNOLL BLVD
Oakland, CA
(37.756465, -122.150021)"
,05/27/2020 10:15:00 AM,20-026224,TRESPASS:OCCUPY PROPERTY W/O CONSENT,35X,3400 MARGARITA AV,Oakland,CA,"3400 MARGARITA AV
Oakland, CA
(37.757691, -122.152204)"
WEAPONS,04/23/2020 02:23:00 PM,20-020603,CARRY CONCEALED WEAPON IN VEH W/PRIOR CONVICTION,27X,2100 HIGH ST,Oakland,CA,"2100 HIGH ST
Oakland, CA
(37.776926, -122.209505)"
WEAPONS,04/23/2020 02:23:00 PM,20-020603,POSSESS FOR SALE/SELL CONTROLLED SUBSTANCE,27X,2100 HIGH ST,Oakland,CA,"2100 HIGH ST
Oakland, CA
(37.776926, -122.209505)"
ROBBERY,05/13/2020 08:00:00 PM,20-023950,CARJACKING - STRONGARM,31Y,100 98TH AV,Oakland,CA,"100 98TH AV
Oakland, CA
(37.728129, -122.197428)"
VANDALISM,03/11/2020 05:55:00 PM,20-907037,VANDALISM,04X,1500 CLAY ST,Oakland,CA,"1500 CLAY ST
Oakland, CA
(37.805926, -122.273184)"
STOLEN VEHICLE,05/12/2020 04:43:00 AM,20-023621,VEHICLE THEFT - AUTO,35Y,8700 MOUNTAIN BLVD,Oakland,CA,"8700 MOUNTAIN BLVD
Oakland, CA
(37.768051, -122.152956)"
VANDALISM,03/12/2020 10:00:00 PM,20-907179,VANDALISM,09X,3400 RICHMOND BLVD,Oakland,CA,"3400 RICHMOND BLVD
Oakland, CA
(37.82049, -122.258265)"
ROBBERY,02/21/2020 09:37:00 PM,20-010209,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",13Z,1900 MOUNTAIN BLVD,Oakland,CA,"1900 MOUNTAIN BLVD
Oakland, CA
(37.829079, -122.210837)"
DOMESTIC VIOLENCE,03/25/2020 09:52:00 AM,20-016115,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,25X,4800 TOMPKINS AV,Oakland,CA,"4800 TOMPKINS AV
Oakland, CA
(37.784964, -122.185213)"
,05/22/2020 07:00:00 PM,20-910694,BURGLARY-AUTO,13Z,1900 MOUNTAIN BOULEVARD,Oakland,CA,"1900 MOUNTAIN BOULEVARD
Oakland, CA
(37.829079, -122.210837)"
DOMESTIC VIOLENCE,05/17/2020 05:00:00 PM,20-024471,THEFT,23X,1600 35TH AV,Oakland,CA,"1600 35TH AV
Oakland, CA
(37.779128, -122.221046)"
,03/16/2020 03:41:00 AM,20-014693,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,17Y,2300 13TH AV,Oakland,CA,"2300 13TH AV
Oakland, CA
(37.795864, -122.238781)"
,05/24/2020 06:17:00 PM,20-025732,VEHICLE THEFT - AUTO,23X,37T H AV&SAN LEANDRO ST,Oakland,CA,"37T H AV&SAN LEANDRO ST
Oakland, CA"
GRAND THEFT,05/03/2020 12:00:00 PM,20-909876,THEFT,13Y,5500 MERRIEWOOD DR,Oakland,CA,"5500 MERRIEWOOD DR
Oakland, CA
(37.83926, -122.210648)"
FELONY ASSAULT,05/27/2020 03:08:00 AM,20-026172,VANDALISM,04X,600 15TH ST,Oakland,CA,"600 15TH ST
Oakland, CA
(37.806575, -122.274793)"
STOLEN VEHICLE,05/13/2020 08:00:00 PM,20-024060,VEHICLE THEFT - AUTO,27Y,5400 FAIRFAX AV,Oakland,CA,"5400 FAIRFAX AV
Oakland, CA
(37.771001, -122.200797)"
BURG - AUTO,05/06/2020 04:15:00 PM,20-909884,BURGLARY-AUTO,77X,REDWOOD ROAD,Oakland,CA,"REDWOOD ROAD
Oakland, CA"
VANDALISM,05/05/2020 06:30:00 PM,20-909882,VANDALISM,04X,600 WILLIAM ST,Oakland,CA,"600 WILLIAM ST
Oakland, CA
(37.809209, -122.27142)"
,05/27/2020 12:02:00 AM,20-026143,BATTERY,33X,1000 82ND AV,Oakland,CA,"1000 82ND AV
Oakland, CA
(37.752401, -122.185277)"
,05/26/2020 10:40:00 AM,20-026064,POSSESS/CONTROL SLOT MACHINE/ETC,19X,1600 INTERNATIONAL BLVD,Oakland,CA,"1600 INTERNATIONAL BLVD
Oakland, CA
(37.788213, -122.243984)"
,05/26/2020 05:00:00 AM,20-026074,BURGLARY-AUTO,32X,10100 INTERNATIONAL BLVD,Oakland,CA,"10100 INTERNATIONAL BLVD
Oakland, CA
(37.742106, -122.168833)"
VANDALISM,05/14/2020 12:00:00 PM,20-024048,MALICIOUSLY DEFACE W/PAINT/ETC,15X,1800 PARK BLVD,Oakland,CA,"1800 PARK BLVD
Oakland, CA
(37.799143, -122.25096)"
MISDEMEANOR ASSAULT,05/06/2020 03:56:00 PM,20-022811,TRESPASSING,27Y,6300 INTERNATIONAL BLVD,Oakland,CA,"6300 INTERNATIONAL BLVD
Oakland, CA
(37.763702, -122.196546)"
DISORDERLY CONDUCT,05/06/2020 08:45:00 PM,20-909938,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,27X,5400 BANCROFT AV,Oakland,CA,"5400 BANCROFT AV
Oakland, CA
(37.771761, -122.200788)"
,05/25/2020 12:55:00 AM,20-910768,THEFT,10X,5800 OCCIDENTAL ST,Oakland,CA,"5800 OCCIDENTAL ST
Oakland, CA
(37.842653, -122.275707)"
WEAPONS,05/12/2020 01:30:00 PM,20-023730,CARRY A LOADED CONCEALED WEAPON ON PERSON,23X,1600 FRUITVALE AV,Oakland,CA,"1600 FRUITVALE AV
Oakland, CA
(37.780305, -122.22449)"
DOMESTIC VIOLENCE,05/24/2020 06:30:00 AM,20-025667,VANDALISM,21X,2500 E 27TH ST,Oakland,CA,"2500 E 27TH ST
Oakland, CA
(37.792275, -122.224041)"
,05/19/2020 11:05:00 AM,20-910701,THEFT,20X,1500 28TH AVE,Oakland,CA,"1500 28TH AVE
Oakland, CA
(37.780842, -122.229017)"
BURG - AUTO,03/06/2020 06:45:00 PM,20-906803,BURGLARY-AUTO,08X,26TH ST & BROADWAY,Oakland,CA,"26TH ST & BROADWAY
Oakland, CA
(37.814845, -122.264528)"
ROBBERY,05/13/2020 03:25:00 PM,20-023904,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",01X,00 4TH ST,Oakland,CA,"00 4TH ST
Oakland, CA"
,05/23/2020 09:00:00 PM,20-026101,VEHICLE THEFT - AUTO,11X,5900 MACCALL ST.,Oakland,CA,"5900 MACCALL ST.
Oakland, CA
(37.844498, -122.267041)"
DOMESTIC VIOLENCE,05/14/2020 06:00:00 PM,20-024133,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,5100 TRASK ST,Oakland,CA,"5100 TRASK ST
Oakland, CA
(37.776722, -122.200524)"
STOLEN VEHICLE,05/07/2020 12:00:00 PM,20-024053,VEHICLE THEFT - AUTO,32Y,1900 102ND AV,Oakland,CA,"1900 102ND AV
Oakland, CA
(37.742946, -122.162661)"
,05/24/2020 11:15:00 AM,20-910737,THEFT,16Y,1600 MACARTHUR BOULEVARD,Oakland,CA,"1600 MACARTHUR BOULEVARD
Oakland, CA
(37.800575, -122.223704)"
,05/21/2020 02:30:00 AM,20-910831,THEFT,22Y,3000 CARLSEN ST,Oakland,CA,"3000 CARLSEN ST
Oakland, CA
(37.802443, -122.199616)"
ROBBERY,05/14/2020 10:00:00 AM,20-024046,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,600 WEBSTER ST,Oakland,CA,"600 WEBSTER ST
Oakland, CA
(37.797847, -122.272152)"
DOMESTIC VIOLENCE,03/20/2020 08:45:00 AM,20-015367,INFLICT CRPL INJ SP/COHAB,10Y,4700 WEST ST,Oakland,CA,"4700 WEST ST
Oakland, CA
(37.835399, -122.269689)"
VANDALISM,03/07/2020 07:35:00 PM,20-906818,VANDALISM,04X,400 21ST ST,Oakland,CA,"400 21ST ST
Oakland, CA
(37.809918, -122.266958)"
,05/25/2020 06:42:00 PM,20-026146,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,24Y,3600 MANGELS AV,Oakland,CA,"3600 MANGELS AV
Oakland, CA
(37.79056, -122.204374)"
,05/26/2020 04:20:00 PM,20-026105,EXHIBIT FIREARM,05Y,1700 PERALTA ST,Oakland,CA,"1700 PERALTA ST
Oakland, CA
(37.813594, -122.292161)"
BURG - AUTO,03/04/2020 07:00:00 PM,20-906411,BURGLARY-AUTO,12Y,KALES AV & COLLEGE AV,Oakland,CA,"KALES AV & COLLEGE AV
Oakland, CA
(37.84093, -122.251404)"
,05/26/2020 10:49:00 AM,20-910841,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,16Y,1300 BATES ROAD,Oakland,CA,"1300 BATES ROAD
Oakland, CA
(37.806193, -122.228819)"
HOMICIDE,05/13/2020 06:20:00 PM,20-023925,SC UNEXPLAINED DEATH,15X,1600 LAKESHORE AV,Oakland,CA,"1600 LAKESHORE AV
Oakland, CA
(37.799728, -122.255641)"
BURG - COMMERCIAL,05/13/2020 04:00:00 AM,20-025251,VIOLATION OF PROBATION-FELONY,24X,4300 FOOTHILL BLVD,Oakland,CA,"4300 FOOTHILL BLVD
Oakland, CA
(37.774673, -122.211777)"
STOLEN VEHICLE,05/14/2020 03:04:00 AM,20-023988,VEHICLE THEFT - AUTO,19X,1400 9TH AV,Oakland,CA,"1400 9TH AV
Oakland, CA
(37.792811, -122.250527)"
,05/25/2020 10:00:00 AM,20-025865,VEHICLE THEFT - AUTO,21X,2600 25TH AV,Oakland,CA,"2600 25TH AV
Oakland, CA
(37.790765, -122.224948)"
BURG - AUTO,03/03/2020 12:15:00 PM,20-906291,BURGLARY-AUTO,PDT2,1200 OAKLAND AV,Oakland,CA,"1200 OAKLAND AV
Oakland, CA
(37.82348, -122.241017)"
BURG - COMMERCIAL,05/06/2020 01:00:00 AM,20-023835,ATTEMPTED BURGLARY,19X,900 E 11TH ST,Oakland,CA,"900 E 11TH ST
Oakland, CA
(37.791315, -122.252269)"
STOLEN VEHICLE,05/13/2020 08:00:00 PM,20-024044,VEHICLE THEFT - AUTO,12Y,5400 LAWTON AV,Oakland,CA,"5400 LAWTON AV
Oakland, CA
(37.840778, -122.252912)"
PETTY THEFT,02/08/2020 01:39:00 PM,20-007620,THEFT,06X,2700 MARTIN LUTHER KING JR W,Oakland,CA,"2700 MARTIN LUTHER KING JR W
Oakland, CA"
,05/24/2020 05:05:00 PM,20-910728,FORGERY,17Y,2500 IVY DRIVE,Oakland,CA,"2500 IVY DRIVE
Oakland, CA
(37.801519, -122.241941)"
,05/25/2020 05:00:00 PM,20-026088,VEHICLE THEFT - AUTO,18Y,400 E 15TH ST,Oakland,CA,"400 E 15TH ST
Oakland, CA
(37.796889, -122.253464)"
MISDEMEANOR ASSAULT,03/01/2020 09:00:00 AM,20-012571,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,9300 VISTA CT,Oakland,CA,"9300 VISTA CT
Oakland, CA
(37.753332, -122.161006)"
PETTY THEFT,02/26/2020 08:05:00 AM,20-011020,THEFT,06X,700 BROCKHURST ST,Oakland,CA,"700 BROCKHURST ST
Oakland, CA
(37.822324, -122.271853)"
PETTY THEFT,05/14/2020 11:59:00 AM,20-024071,THEFT,33X,1100 87TH AV,Oakland,CA,"1100 87TH AV
Oakland, CA
(37.749437, -122.181031)"
,05/04/2020 12:15:00 PM,20-910708,MAIL/ETC THEFT/ETC,12Y,6500 TELEGRAPH AVE,Oakland,CA,"6500 TELEGRAPH AVE
Oakland, CA
(37.851026, -122.260404)"
BURG - COMMERCIAL,05/13/2020 10:10:00 AM,20-023838,BURGLARY-FORCIBLE ENTRY,08X,400 26TH ST,Oakland,CA,"400 26TH ST
Oakland, CA
(37.815145, -122.266322)"
WEAPONS,03/08/2020 06:52:00 PM,20-013240,CARRY A LOADED CONCEALED WEAPON ON PERSON,33X,8400 E ST,Oakland,CA,"8400 E ST
Oakland, CA
(37.751063, -122.184327)"
EMBEZZLEMENT,03/04/2020 11:31:00 PM,20-013425,EMBEZZLEMENT,20X,2400 INTERNATIONAL BLVD,Oakland,CA,"2400 INTERNATIONAL BLVD
Oakland, CA
(37.78238, -122.234225)"
FELONY ASSAULT,05/14/2020 01:36:00 PM,20-024081,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,69TH AV & SNELL ST,Oakland,CA,"69TH AV & SNELL ST
Oakland, CA
(37.755598, -122.198191)"
MISDEMEANOR ASSAULT,05/13/2020 10:18:00 PM,20-023962,THEFT,31Y,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.744964, -122.195947)"
RECOVERED O/S STOLEN,05/12/2020 03:15:00 PM,20-023708,POSS STOLEN VEH/VES/ETC,07X,2200 WOOD ST,Oakland,CA,"2200 WOOD ST
Oakland, CA
(37.81904, -122.293247)"
BURG - AUTO,05/07/2020 01:48:00 PM,20-909983,BURGLARY-AUTO,19X,800 KENNEDY ST,Oakland,CA,"800 KENNEDY ST
Oakland, CA
(37.777886, -122.237698)"
BURG - AUTO,01/22/2020 10:15:00 PM,20-906709,BURGLARY-AUTO,23X,3300 E 9TH ST,Oakland,CA,"3300 E 9TH ST
Oakland, CA
(37.77307, -122.22682)"
,05/22/2020 05:39:00 PM,20-910711,VANDALISM,12Y,5600 COLLEGE AVE,Oakland,CA,"5600 COLLEGE AVE
Oakland, CA
(37.843627, -122.251687)"
BURG - AUTO,05/07/2020 12:00:00 AM,20-909980,BURGLARY-AUTO,03Y,10TH ST & WASHINGTON ST,Oakland,CA,"10TH ST & WASHINGTON ST
Oakland, CA
(37.802028, -122.274156)"
STOLEN VEHICLE,05/12/2020 04:08:00 AM,20-023618,VEHICLE THEFT - AUTO,35X,2500 88TH AV,Oakland,CA,"2500 88TH AV
Oakland, CA"
